State,Date,Population,GDP (in trillions),Peak Demand (MW),Peak Production (MW),Solar Production (MW),Coal Production (MW),Wind Production (MW),Nuclear Production (MW),Total Production (MW),State_num,Month,Year
Andhra Pradesh,2012-01-31,49459254.09495021,12.936300342484188,0.09745160057772272,0.09881823106936749,0.06375202563362521,0.08452411222826683,0.0,0.0,0.04971548775966587,0,1,2012
Andhra Pradesh,2012-02-29,49530069.17763528,12.982674403691636,0.0763942772832839,0.07779553978962422,0.019703679652987926,0.09073105547637124,0.0,0.0,0.044189872612339934,0,2,2012
Andhra Pradesh,2012-03-31,49574632.84298768,13.014995559323683,0.06749217073920591,0.06348039049735239,0.061195902348166034,0.05591572052433583,0.0,0.0,0.036470551625668673,0,3,2012
Andhra Pradesh,2012-04-30,49616833.99539849,13.045383276071584,0.052384900320686156,0.05212653874541135,0.05215386036393522,0.052051278024381926,0.0,0.0,0.03304371174894331,0,4,2012
Andhra Pradesh,2012-05-31,49697168.65044877,13.06788205822993,0.09440129166728418,0.08105916565588597,0.087840449718375,0.09880203288305166,0.0,0.0,0.060621698498694906,0,5,2012
Andhra Pradesh,2012-06-30,49738810.084627,13.098181282073506,0.06417841881892936,0.05907703010204283,0.0398915726485942,0.059930809527519176,0.0,0.0,0.034250015802735054,0,6,2012
Andhra Pradesh,2012-07-31,49790799.870570205,13.135321734816925,0.07264656329963032,0.06897667719024193,0.025282106161127953,0.07000511982193541,0.0,0.0,0.03599351487944865,0,7,2012
Andhra Pradesh,2012-08-31,49877176.4653837,13.174853788748052,0.09327186603460097,0.07919896638367033,0.05718877696854957,0.08582660106490411,0.0,0.0,0.049060652455382804,0,8,2012
Andhra Pradesh,2012-09-30,49991714.40085389,13.225315329685415,0.07459654255772284,0.07437938336882204,0.053404214877976294,0.06284534369406188,0.0,0.0,0.0380949233614448,0,9,2012
Andhra Pradesh,2012-10-31,50035679.95949187,13.27279663367708,0.09312775580696324,0.0823147562337422,0.08414562395765125,0.10306376150618161,0.0,0.0,0.061827281706245046,0,10,2012
Andhra Pradesh,2012-11-30,50109153.03804957,13.29938783693908,0.06520713329530156,0.06319850496090441,0.03701169882460669,0.06888924252858179,0.0,0.0,0.037704491267320284,0,11,2012
Andhra Pradesh,2012-12-31,50191486.25827324,13.32513242211499,0.07725709141208117,0.0702881912352098,0.01900110127824087,0.07932758026689514,0.0,0.0,0.038969926753686525,0,12,2012
